State/UT,DropoutRate,Year,Level,Gender,StartYear
Manipur,0.5,2006-2007,Elementary,Boys,2006
Meghalaya,4.9,2006-2007,Elementary,Boys,2006
Mizoram,7.6,2006-2007,Elementary,Boys,2006
Nagaland,3.5,2006-2007,Elementary,Boys,2006
Odisha,3.1,2006-2007,Elementary,Boys,2006
Puducherry,0.9,2006-2007,Elementary,Boys,2006
Punjab,4.2,2006-2007,Elementary,Boys,2006
Rajasthan,0.4,2006-2007,Elementary,Boys,2006
Sikkim,1.5,2006-2007,Elementary,Boys,2006
Tamil Nadu,0.6,2006-2007,Elementary,Boys,2006
Telangana,7.1,2006-2007,Elementary,Boys,2006
Tripura,0.6,2006-2007,Elementary,Boys,2006
Uttar Pradesh,0.7,2006-2007,Elementary,Boys,2006
Uttarakhand,4.7,2006-2007,Elementary,Boys,2006
West Bengal,6.5,2006-2007,Elementary,Boys,2006
All India,6.3,2006-2007,Elementary,Boys,2006
Andaman and Nicobar Islands,2.2,2006-2007,Elementary,Girls,2006
Andhra Pradesh,3.7,2006-2007,Elementary,Girls,2006
Arunachal Pradesh,3.9,2006-2007,Elementary,Girls,2006
Assam,2.4,2006-2007,Elementary,Girls,2006
Bihar,5.1,2006-2007,Elementary,Girls,2006
Chandigarh,4.9,2006-2007,Elementary,Girls,2006
Chhattisgarh,1.1,2006-2007,Elementary,Girls,2006
Dadra and Nagar Haveli,4.0,2006-2007,Elementary,Girls,2006
Daman and Diu,0.9,2006-2007,Elementary,Girls,2006
Delhi,5.8,2006-2007,Elementary,Girls,2006
Goa,6.1,2006-2007,Elementary,Girls,2006
Gujarat,1.6,2006-2007,Elementary,Girls,2006
Haryana,2.1,2006-2007,Elementary,Girls,2006
Himachal Pradesh,5.3,2006-2007,Elementary,Girls,2006
Jammu and Kashmir,2.5,2006-2007,Elementary,Girls,2006
Jharkhand,5.6,2006-2007,Elementary,Girls,2006
Karnataka,5.3,2006-2007,Elementary,Girls,2006
Kerala,3.2,2006-2007,Elementary,Girls,2006
Ladakh,7.2,2006-2007,Elementary,Girls,2006
Lakshadweep,3.7,2006-2007,Elementary,Girls,2006
Madhya Pradesh,0.1,2006-2007,Elementary,Girls,2006
Maharashtra,3.7,2006-2007,Elementary,Girls,2006
Manipur,3.1,2006-2007,Elementary,Girls,2006
Meghalaya,1.8,2006-2007,Elementary,Girls,2006
Mizoram,3.6,2006-2007,Elementary,Girls,2006
Nagaland,1.0,2006-2007,Elementary,Girls,2006
Odisha,4.5,2006-2007,Elementary,Girls,2006
Puducherry,1.9,2006-2007,Elementary,Girls,2006
Punjab,3.3,2006-2007,Elementary,Girls,2006
Rajasthan,1.8,2006-2007,Elementary,Girls,2006
Sikkim,2.6,2006-2007,Elementary,Girls,2006
Tamil Nadu,3.3,2006-2007,Elementary,Girls,2006
Telangana,2.9,2006-2007,Elementary,Girls,2006
Tripura,4.0,2006-2007,Elementary,Girls,2006
Uttar Pradesh,1.9,2006-2007,Elementary,Girls,2006
Uttarakhand,0.4,2006-2007,Elementary,Girls,2006
West Bengal,4.8,2006-2007,Elementary,Girls,2006
All India,0.0,2006-2007,Elementary,Girls,2006
Andaman and Nicobar Islands,12.5,2006-2007,Secondary,Boys,2006
Andhra Pradesh,15.9,2006-2007,Secondary,Boys,2006
Arunachal Pradesh,14.4,2006-2007,Secondary,Boys,2006
Assam,11.4,2006-2007,Secondary,Boys,2006
Bihar,21.7,2006-2007,Secondary,Boys,2006
Chandigarh,18.8,2006-2007,Secondary,Boys,2006
Chhattisgarh,18.7,2006-2007,Secondary,Boys,2006
Dadra and Nagar Haveli,18.3,2006-2007,Secondary,Boys,2006
Daman and Diu,20.8,2006-2007,Secondary,Boys,2006
Delhi,14.5,2006-2007,Secondary,Boys,2006
Goa,10.4,2006-2007,Secondary,Boys,2006
Gujarat,9.9,2006-2007,Secondary,Boys,2006
Haryana,10.0,2006-2007,Secondary,Boys,2006
Himachal Pradesh,14.0,2006-2007,Secondary,Boys,2006
Jammu and Kashmir,18.7,2006-2007,Secondary,Boys,2006
Jharkhand,18.7,2006-2007,Secondary,Boys,2006
Karnataka,14.6,2006-2007,Secondary,Boys,2006
Kerala,13.9,2006-2007,Secondary,Boys,2006
Ladakh,21.8,2006-2007,Secondary,Boys,2006
Lakshadweep,24.3,2006-2007,Secondary,Boys,2006
Madhya Pradesh,22.0,2006-2007,Secondary,Boys,2006
Maharashtra,21.4,2006-2007,Secondary,Boys,2006
Manipur,12.6,2006-2007,Secondary,Boys,2006
Meghalaya,13.7,2006-2007,Secondary,Boys,2006
Mizoram,21.3,2006-2007,Secondary,Boys,2006
Nagaland,19.1,2006-2007,Secondary,Boys,2006
Odisha,15.7,2006-2007,Secondary,Boys,2006
Puducherry,10.4,2006-2007,Secondary,Boys,2006
Punjab,16.0,2006-2007,Secondary,Boys,2006
Rajasthan,21.8,2006-2007,Secondary,Boys,2006
Sikkim,11.0,2006-2007,Secondary,Boys,2006
Tamil Nadu,23.5,2006-2007,Secondary,Boys,2006
Telangana,11.1,2006-2007,Secondary,Boys,2006
Tripura,18.1,2006-2007,Secondary,Boys,2006
Uttar Pradesh,15.1,2006-2007,Secondary,Boys,2006
Uttarakhand,17.3,2006-2007,Secondary,Boys,2006
West Bengal,18.4,2006-2007,Secondary,Boys,2006
All India,10.8,2006-2007,Secondary,Boys,2006
Andaman and Nicobar Islands,12.3,2006-2007,Secondary,Girls,2006
Andhra Pradesh,16.9,2006-2007,Secondary,Girls,2006
Arunachal Pradesh,14.9,2006-2007,Secondary,Girls,2006
Assam,22.0,2006-2007,Secondary,Girls,2006
Bihar,18.3,2006-2007,Secondary,Girls,2006
Chandigarh,16.0,2006-2007,Secondary,Girls,2006
Chhattisgarh,9.7,2006-2007,Secondary,Girls,2006
Dadra and Nagar Haveli,24.5,2006-2007,Secondary,Girls,2006
Daman and Diu,15.9,2006-2007,Secondary,Girls,2006
Delhi,16.4,2006-2007,Secondary,Girls,2006
Goa,18.0,2006-2007,Secondary,Girls,2006
Gujarat,12.3,2006-2007,Secondary,Girls,2006
Haryana,16.7,2006-2007,Secondary,Girls,2006
Himachal Pradesh,16.1,2006-2007,Secondary,Girls,2006
Jammu and Kashmir,14.6,2006-2007,Secondary,Girls,2006
Jharkhand,11.5,2006-2007,Secondary,Girls,2006
Karnataka,13.6,2006-2007,Secondary,Girls,2006
Kerala,17.3,2006-2007,Secondary,Girls,2006
Ladakh,18.3,2006-2007,Secondary,Girls,2006
Lakshadweep,10.7,2006-2007,Secondary,Girls,2006
Madhya Pradesh,20.9,2006-2007,Secondary,Girls,2006
Maharashtra,15.3,2006-2007,Secondary,Girls,2006
Manipur,14.2,2006-2007,Secondary,Girls,2006
Meghalaya,15.1,2006-2007,Secondary,Girls,2006
Mizoram,20.4,2006-2007,Secondary,Girls,2006
Nagaland,22.3,2006-2007,Secondary,Girls,2006
Odisha,9.5,2006-2007,Secondary,Girls,2006
Puducherry,16.3,2006-2007,Secondary,Girls,2006
Punjab,13.7,2006-2007,Secondary,Girls,2006
Rajasthan,10.9,2006-2007,Secondary,Girls,2006
Sikkim,15.2,2006-2007,Secondary,Girls,2006
Tamil Nadu,22.1,2006-2007,Secondary,Girls,2006
Telangana,15.2,2006-2007,Secondary,Girls,2006
Tripura,20.1,2006-2007,Secondary,Girls,2006
Uttar Pradesh,19.1,2006-2007,Secondary,Girls,2006
Uttarakhand,20.2,2006-2007,Secondary,Girls,2006
West Bengal,16.7,2006-2007,Secondary,Girls,2006
All India,12.1,2006-2007,Secondary,Girls,2006
Andaman and Nicobar Islands,0.3,2007-2008,Elementary,Boys,2007
Andhra Pradesh,5.1,2007-2008,Elementary,Boys,2007
Arunachal Pradesh,0.1,2007-2008,Elementary,Boys,2007
Assam,3.2,2007-2008,Elementary,Boys,2007
Bihar,5.2,2007-2008,Elementary,Boys,2007
Chandigarh,3.0,2007-2008,Elementary,Boys,2007
Chhattisgarh,6.6,2007-2008,Elementary,Boys,2007
Dadra and Nagar Haveli,1.6,2007-2008,Elementary,Boys,2007
Daman and Diu,5.2,2007-2008,Elementary,Boys,2007
Delhi,1.5,2007-2008,Elementary,Boys,2007
Goa,6.2,2007-2008,Elementary,Boys,2007
Gujarat,0.6,2007-2008,Elementary,Boys,2007
Haryana,6.1,2007-2008,Elementary,Boys,2007
Himachal Pradesh,0.9,2007-2008,Elementary,Boys,2007
Jammu and Kashmir,5.4,2007-2008,Elementary,Boys,2007
Jharkhand,1.5,2007-2008,Elementary,Boys,2007
Karnataka,6.5,2007-2008,Elementary,Boys,2007
Kerala,5.4,2007-2008,Elementary,Boys,2007
Ladakh,1.7,2007-2008,Elementary,Boys,2007
Lakshadweep,1.6,2007-2008,Elementary,Boys,2007
Madhya Pradesh,3.6,2007-2008,Elementary,Boys,2007
Maharashtra,6.0,2007-2008,Elementary,Boys,2007
Manipur,7.2,2007-2008,Elementary,Boys,2007
Meghalaya,2.6,2007-2008,Elementary,Boys,2007
Mizoram,1.0,2007-2008,Elementary,Boys,2007
Nagaland,6.3,2007-2008,Elementary,Boys,2007
Odisha,0.6,2007-2008,Elementary,Boys,2007
Puducherry,3.4,2007-2008,Elementary,Boys,2007
Punjab,4.4,2007-2008,Elementary,Boys,2007
Rajasthan,1.2,2007-2008,Elementary,Boys,2007
Sikkim,3.9,2007-2008,Elementary,Boys,2007
Tamil Nadu,1.9,2007-2008,Elementary,Boys,2007
Telangana,0.2,2007-2008,Elementary,Boys,2007
Tripura,4.1,2007-2008,Elementary,Boys,2007
Uttar Pradesh,3.0,2007-2008,Elementary,Boys,2007
Uttarakhand,5.1,2007-2008,Elementary,Boys,2007
West Bengal,1.4,2007-2008,Elementary,Boys,2007
All India,0.1,2007-2008,Elementary,Boys,2007
Andaman and Nicobar Islands,5.9,2007-2008,Elementary,Girls,2007
Andhra Pradesh,3.4,2007-2008,Elementary,Girls,2007
Arunachal Pradesh,0.8,2007-2008,Elementary,Girls,2007
Assam,4.2,2007-2008,Elementary,Girls,2007
Bihar,4.7,2007-2008,Elementary,Girls,2007
Chandigarh,5.1,2007-2008,Elementary,Girls,2007
Chhattisgarh,2.4,2007-2008,Elementary,Girls,2007
Dadra and Nagar Haveli,4.1,2007-2008,Elementary,Girls,2007
Daman and Diu,3.2,2007-2008,Elementary,Girls,2007
Delhi,5.6,2007-2008,Elementary,Girls,2007
Goa,3.2,2007-2008,Elementary,Girls,2007
Gujarat,0.7,2007-2008,Elementary,Girls,2007
Haryana,7.1,2007-2008,Elementary,Girls,2007
Himachal Pradesh,0.2,2007-2008,Elementary,Girls,2007
Jammu and Kashmir,4.8,2007-2008,Elementary,Girls,2007
Jharkhand,3.7,2007-2008,Elementary,Girls,2007
Karnataka,3.5,2007-2008,Elementary,Girls,2007
Kerala,5.6,2007-2008,Elementary,Girls,2007
Ladakh,1.1,2007-2008,Elementary,Girls,2007
Lakshadweep,3.6,2007-2008,Elementary,Girls,2007
Madhya Pradesh,2.0,2007-2008,Elementary,Girls,2007
Maharashtra,2.4,2007-2008,Elementary,Girls,2007
Manipur,7.4,2007-2008,Elementary,Girls,2007
Meghalaya,2.5,2007-2008,Elementary,Girls,2007
Mizoram,3.6,2007-2008,Elementary,Girls,2007
Nagaland,0.1,2007-2008,Elementary,Girls,2007
Odisha,3.8,2007-2008,Elementary,Girls,2007
Puducherry,2.6,2007-2008,Elementary,Girls,2007
Punjab,2.0,2007-2008,Elementary,Girls,2007
Rajasthan,4.1,2007-2008,Elementary,Girls,2007
Sikkim,1.9,2007-2008,Elementary,Girls,2007
Tamil Nadu,0.0,2007-2008,Elementary,Girls,2007
Telangana,2.5,2007-2008,Elementary,Girls,2007
Tripura,6.3,2007-2008,Elementary,Girls,2007
Uttar Pradesh,1.0,2007-2008,Elementary,Girls,2007
Uttarakhand,1.7,2007-2008,Elementary,Girls,2007
West Bengal,6.0,2007-2008,Elementary,Girls,2007
All India,1.5,2007-2008,Elementary,Girls,2007
Andaman and Nicobar Islands,17.1,2007-2008,Secondary,Boys,2007
Andhra Pradesh,11.6,2007-2008,Secondary,Boys,2007
Arunachal Pradesh,18.6,2007-2008,Secondary,Boys,2007
Assam,20.8,2007-2008,Secondary,Boys,2007
Bihar,11.7,2007-2008,Secondary,Boys,2007
Chandigarh,20.0,2007-2008,Secondary,Boys,2007
Chhattisgarh,12.6,2007-2008,Secondary,Boys,2007
Dadra and Nagar Haveli,14.8,2007-2008,Secondary,Boys,2007
Daman and Diu,21.0,2007-2008,Secondary,Boys,2007
Delhi,21.7,2007-2008,Secondary,Boys,2007
Goa,18.6,2007-2008,Secondary,Boys,2007
Gujarat,16.3,2007-2008,Secondary,Boys,2007
Haryana,22.0,2007-2008,Secondary,Boys,2007
Himachal Pradesh,10.8,2007-2008,Secondary,Boys,2007
Jammu and Kashmir,10.2,2007-2008,Secondary,Boys,2007
Jharkhand,20.9,2007-2008,Secondary,Boys,2007
Karnataka,11.7,2007-2008,Secondary,Boys,2007
Kerala,24.0,2007-2008,Secondary,Boys,2007
Ladakh,10.6,2007-2008,Secondary,Boys,2007
Lakshadweep,16.0,2007-2008,Secondary,Boys,2007
Madhya Pradesh,9.8,2007-2008,Secondary,Boys,2007
Maharashtra,19.8,2007-2008,Secondary,Boys,2007
Manipur,18.5,2007-2008,Secondary,Boys,2007
Meghalaya,11.7,2007-2008,Secondary,Boys,2007
Mizoram,15.7,2007-2008,Secondary,Boys,2007
Nagaland,16.5,2007-2008,Secondary,Boys,2007
Odisha,11.4,2007-2008,Secondary,Boys,2007
Puducherry,15.9,2007-2008,Secondary,Boys,2007
Punjab,11.3,2007-2008,Secondary,Boys,2007
Rajasthan,11.2,2007-2008,Secondary,Boys,2007
Sikkim,10.2,2007-2008,Secondary,Boys,2007
Tamil Nadu,14.4,2007-2008,Secondary,Boys,2007
Telangana,19.9,2007-2008,Secondary,Boys,2007
Tripura,16.5,2007-2008,Secondary,Boys,2007
Uttar Pradesh,21.0,2007-2008,Secondary,Boys,2007
Uttarakhand,20.5,2007-2008,Secondary,Boys,2007
West Bengal,21.1,2007-2008,Secondary,Boys,2007
All India,23.5,2007-2008,Secondary,Boys,2007
Andaman and Nicobar Islands,22.4,2007-2008,Secondary,Girls,2007
Andhra Pradesh,16.8,2007-2008,Secondary,Girls,2007
Arunachal Pradesh,18.0,2007-2008,Secondary,Girls,2007
Assam,13.3,2007-2008,Secondary,Girls,2007
Bihar,18.0,2007-2008,Secondary,Girls,2007
Chandigarh,22.4,2007-2008,Secondary,Girls,2007
Chhattisgarh,9.9,2007-2008,Secondary,Girls,2007
Dadra and Nagar Haveli,19.8,2007-2008,Secondary,Girls,2007
Daman and Diu,18.1,2007-2008,Secondary,Girls,2007
Delhi,20.1,2007-2008,Secondary,Girls,2007
Goa,20.7,2007-2008,Secondary,Girls,2007
Gujarat,21.9,2007-2008,Secondary,Girls,2007
Haryana,11.7,2007-2008,Secondary,Girls,2007
Himachal Pradesh,20.7,2007-2008,Secondary,Girls,2007
Jammu and Kashmir,9.3,2007-2008,Secondary,Girls,2007
Jharkhand,9.6,2007-2008,Secondary,Girls,2007
Karnataka,20.5,2007-2008,Secondary,Girls,2007
Kerala,21.8,2007-2008,Secondary,Girls,2007
Ladakh,17.7,2007-2008,Secondary,Girls,2007
Lakshadweep,20.8,2007-2008,Secondary,Girls,2007
Madhya Pradesh,25.2,2007-2008,Secondary,Girls,2007
Maharashtra,19.0,2007-2008,Secondary,Girls,2007
Manipur,18.8,2007-2008,Secondary,Girls,2007
Meghalaya,9.8,2007-2008,Secondary,Girls,2007
Mizoram,23.0,2007-2008,Secondary,Girls,2007
Nagaland,18.9,2007-2008,Secondary,Girls,2007
Odisha,13.8,2007-2008,Secondary,Girls,2007
Puducherry,18.5,2007-2008,Secondary,Girls,2007
Punjab,20.7,2007-2008,Secondary,Girls,2007
Rajasthan,12.7,2007-2008,Secondary,Girls,2007
Sikkim,13.7,2007-2008,Secondary,Girls,2007
Tamil Nadu,21.5,2007-2008,Secondary,Girls,2007
Telangana,15.5,2007-2008,Secondary,Girls,2007
Tripura,15.0,2007-2008,Secondary,Girls,2007
Uttar Pradesh,17.9,2007-2008,Secondary,Girls,2007
Uttarakhand,20.4,2007-2008,Secondary,Girls,2007
West Bengal,22.9,2007-2008,Secondary,Girls,2007
All India,12.7,2007-2008,Secondary,Girls,2007
Andaman and Nicobar Islands,5.9,2008-2009,Elementary,Boys,2008
Andhra Pradesh,7.4,2008-2009,Elementary,Boys,2008
Arunachal Pradesh,4.0,2008-2009,Elementary,Boys,2008
Assam,0.1,2008-2009,Elementary,Boys,2008
Bihar,2.9,2008-2009,Elementary,Boys,2008
Chandigarh,0.4,2008-2009,Elementary,Boys,2008
Chhattisgarh,0.6,2008-2009,Elementary,Boys,2008
Dadra and Nagar Haveli,5.6,2008-2009,Elementary,Boys,2008
Daman and Diu,2.8,2008-2009,Elementary,Boys,2008
Delhi,1.4,2008-2009,Elementary,Boys,2008
Goa,5.5,2008-2009,Elementary,Boys,2008
Gujarat,4.1,2008-2009,Elementary,Boys,2008
Haryana,1.6,2008-2009,Elementary,Boys,2008
Himachal Pradesh,5.3,2008-2009,Elementary,Boys,2008
Jammu and Kashmir,5.5,2008-2009,Elementary,Boys,2008
Jharkhand,4.2,2008-2009,Elementary,Boys,2008
Karnataka,4.0,2008-2009,Elementary,Boys,2008
Kerala,3.1,2008-2009,Elementary,Boys,2008
Ladakh,4.6,2008-2009,Elementary,Boys,2008
Lakshadweep,5.9,2008-2009,Elementary,Boys,2008
Madhya Pradesh,6.0,2008-2009,Elementary,Boys,2008
Maharashtra,2.3,2008-2009,Elementary,Boys,2008
Manipur,2.0,2008-2009,Elementary,Boys,2008
Meghalaya,0.9,2008-2009,Elementary,Boys,2008
Mizoram,3.9,2008-2009,Elementary,Boys,2008
Nagaland,4.8,2008-2009,Elementary,Boys,2008
Odisha,4.7,2008-2009,Elementary,Boys,2008
Puducherry,5.0,2008-2009,Elementary,Boys,2008
Punjab,0.4,2008-2009,Elementary,Boys,2008
Rajasthan,4.8,2008-2009,Elementary,Boys,2008
Sikkim,1.0,2008-2009,Elementary,Boys,2008
Tamil Nadu,1.9,2008-2009,Elementary,Boys,2008
Telangana,1.5,2008-2009,Elementary,Boys,2008
Tripura,4.6,2008-2009,Elementary,Boys,2008
Uttar Pradesh,0.9,2008-2009,Elementary,Boys,2008
Uttarakhand,1.8,2008-2009,Elementary,Boys,2008
West Bengal,6.3,2008-2009,Elementary,Boys,2008
All India,3.2,2008-2009,Elementary,Boys,2008
Andaman and Nicobar Islands,5.9,2008-2009,Elementary,Girls,2008
Andhra Pradesh,3.1,2008-2009,Elementary,Girls,2008
Arunachal Pradesh,2.0,2008-2009,Elementary,Girls,2008
Assam,1.9,2008-2009,Elementary,Girls,2008
Bihar,6.6,2008-2009,Elementary,Girls,2008
Chandigarh,3.5,2008-2009,Elementary,Girls,2008
Chhattisgarh,4.3,2008-2009,Elementary,Girls,2008
Dadra and Nagar Haveli,1.3,2008-2009,Elementary,Girls,2008
Daman and Diu,2.9,2008-2009,Elementary,Girls,2008
Delhi,1.0,2008-2009,Elementary,Girls,2008
Goa,1.4,2008-2009,Elementary,Girls,2008
Gujarat,3.5,2008-2009,Elementary,Girls,2008
Haryana,1.2,2008-2009,Elementary,Girls,2008
Himachal Pradesh,0.3,2008-2009,Elementary,Girls,2008
Jammu and Kashmir,2.4,2008-2009,Elementary,Girls,2008
Jharkhand,7.3,2008-2009,Elementary,Girls,2008
Karnataka,6.0,2008-2009,Elementary,Girls,2008
Kerala,3.1,2008-2009,Elementary,Girls,2008
Ladakh,4.0,2008-2009,Elementary,Girls,2008
Lakshadweep,5.8,2008-2009,Elementary,Girls,2008
Madhya Pradesh,6.4,2008-2009,Elementary,Girls,2008
Maharashtra,3.5,2008-2009,Elementary,Girls,2008
Manipur,5.2,2008-2009,Elementary,Girls,2008
Meghalaya,4.2,2008-2009,Elementary,Girls,2008
Mizoram,2.2,2008-2009,Elementary,Girls,2008
Nagaland,1.9,2008-2009,Elementary,Girls,2008
Odisha,2.1,2008-2009,Elementary,Girls,2008
Puducherry,0.3,2008-2009,Elementary,Girls,2008
Punjab,4.5,2008-2009,Elementary,Girls,2008
Rajasthan,6.4,2008-2009,Elementary,Girls,2008
Sikkim,0.1,2008-2009,Elementary,Girls,2008
Tamil Nadu,4.0,2008-2009,Elementary,Girls,2008
Telangana,1.8,2008-2009,Elementary,Girls,2008
Tripura,1.3,2008-2009,Elementary,Girls,2008
Uttar Pradesh,6.7,2008-2009,Elementary,Girls,2008
Uttarakhand,7.2,2008-2009,Elementary,Girls,2008
West Bengal,4.9,2008-2009,Elementary,Girls,2008
All India,5.5,2008-2009,Elementary,Girls,2008
Andaman and Nicobar Islands,10.8,2008-2009,Secondary,Boys,2008
Andhra Pradesh,14.5,2008-2009,Secondary,Boys,2008
Arunachal Pradesh,15.5,2008-2009,Secondary,Boys,2008
Assam,20.6,2008-2009,Secondary,Boys,2008
Bihar,8.8,2008-2009,Secondary,Boys,2008
Chandigarh,13.3,2008-2009,Secondary,Boys,2008
Chhattisgarh,11.5,2008-2009,Secondary,Boys,2008
Dadra and Nagar Haveli,12.4,2008-2009,Secondary,Boys,2008
Daman and Diu,10.8,2008-2009,Secondary,Boys,2008
Delhi,12.5,2008-2009,Secondary,Boys,2008
Goa,22.9,2008-2009,Secondary,Boys,2008
Gujarat,9.7,2008-2009,Secondary,Boys,2008
Haryana,19.3,2008-2009,Secondary,Boys,2008
Himachal Pradesh,15.7,2008-2009,Secondary,Boys,2008
Jammu and Kashmir,9.6,2008-2009,Secondary,Boys,2008
Jharkhand,9.7,2008-2009,Secondary,Boys,2008
Karnataka,21.8,2008-2009,Secondary,Boys,2008
Kerala,18.2,2008-2009,Secondary,Boys,2008
Ladakh,17.9,2008-2009,Secondary,Boys,2008
Lakshadweep,14.8,2008-2009,Secondary,Boys,2008
Madhya Pradesh,16.0,2008-2009,Secondary,Boys,2008
Maharashtra,21.8,2008-2009,Secondary,Boys,2008
Manipur,11.3,2008-2009,Secondary,Boys,2008
Meghalaya,11.9,2008-2009,Secondary,Boys,2008
Mizoram,13.7,2008-2009,Secondary,Boys,2008
Nagaland,21.2,2008-2009,Secondary,Boys,2008
Odisha,9.9,2008-2009,Secondary,Boys,2008
Puducherry,13.9,2008-2009,Secondary,Boys,2008
Punjab,23.8,2008-2009,Secondary,Boys,2008
Rajasthan,9.8,2008-2009,Secondary,Boys,2008
Sikkim,18.2,2008-2009,Secondary,Boys,2008
Tamil Nadu,18.3,2008-2009,Secondary,Boys,2008
Telangana,13.0,2008-2009,Secondary,Boys,2008
Tripura,14.8,2008-2009,Secondary,Boys,2008
Uttar Pradesh,14.1,2008-2009,Secondary,Boys,2008
Uttarakhand,12.1,2008-2009,Secondary,Boys,2008
West Bengal,21.5,2008-2009,Secondary,Boys,2008
All India,11.8,2008-2009,Secondary,Boys,2008
Andaman and Nicobar Islands,10.4,2008-2009,Secondary,Girls,2008
Andhra Pradesh,12.9,2008-2009,Secondary,Girls,2008
Arunachal Pradesh,11.5,2008-2009,Secondary,Girls,2008
Assam,19.1,2008-2009,Secondary,Girls,2008
Bihar,16.7,2008-2009,Secondary,Girls,2008
Chandigarh,18.7,2008-2009,Secondary,Girls,2008
Chhattisgarh,16.7,2008-2009,Secondary,Girls,2008
Dadra and Nagar Haveli,19.8,2008-2009,Secondary,Girls,2008
Daman and Diu,9.8,2008-2009,Secondary,Girls,2008
Delhi,12.8,2008-2009,Secondary,Girls,2008
Goa,17.4,2008-2009,Secondary,Girls,2008
Gujarat,17.6,2008-2009,Secondary,Girls,2008
Haryana,20.4,2008-2009,Secondary,Girls,2008
Himachal Pradesh,15.6,2008-2009,Secondary,Girls,2008
Jammu and Kashmir,12.6,2008-2009,Secondary,Girls,2008
Jharkhand,9.0,2008-2009,Secondary,Girls,2008
Karnataka,22.2,2008-2009,Secondary,Girls,2008
Kerala,11.3,2008-2009,Secondary,Girls,2008
Ladakh,14.4,2008-2009,Secondary,Girls,2008
Lakshadweep,10.2,2008-2009,Secondary,Girls,2008
Madhya Pradesh,14.7,2008-2009,Secondary,Girls,2008
Maharashtra,16.7,2008-2009,Secondary,Girls,2008
Manipur,20.7,2008-2009,Secondary,Girls,2008
Meghalaya,9.7,2008-2009,Secondary,Girls,2008
Mizoram,19.2,2008-2009,Secondary,Girls,2008
Nagaland,21.0,2008-2009,Secondary,Girls,2008
Odisha,16.5,2008-2009,Secondary,Girls,2008
Puducherry,9.6,2008-2009,Secondary,Girls,2008
Punjab,20.7,2008-2009,Secondary,Girls,2008
Rajasthan,19.0,2008-2009,Secondary,Girls,2008
Sikkim,9.2,2008-2009,Secondary,Girls,2008
Tamil Nadu,17.3,2008-2009,Secondary,Girls,2008
Telangana,10.5,2008-2009,Secondary,Girls,2008
Tripura,9.3,2008-2009,Secondary,Girls,2008
Uttar Pradesh,17.9,2008-2009,Secondary,Girls,2008
Uttarakhand,10.2,2008-2009,Secondary,Girls,2008
West Bengal,15.8,2008-2009,Secondary,Girls,2008
All India,15.7,2008-2009,Secondary,Girls,2008
Andaman and Nicobar Islands,2.3,2009-2010,Elementary,Boys,2009
Andhra Pradesh,5.8,2009-2010,Elementary,Boys,2009
Arunachal Pradesh,1.7,2009-2010,Elementary,Boys,2009
Assam,1.1,2009-2010,Elementary,Boys,2009
Bihar,7.0,2009-2010,Elementary,Boys,2009
Chandigarh,4.8,2009-2010,Elementary,Boys,2009
Chhattisgarh,0.3,2009-2010,Elementary,Boys,2009
Dadra and Nagar Haveli,5.7,2009-2010,Elementary,Boys,2009
Daman and Diu,4.4,2009-2010,Elementary,Boys,2009
Delhi,6.1,2009-2010,Elementary,Boys,2009
Goa,6.3,2009-2010,Elementary,Boys,2009
Gujarat,3.6,2009-2010,Elementary,Boys,2009
Haryana,2.2,2009-2010,Elementary,Boys,2009
Himachal Pradesh,2.5,2009-2010,Elementary,Boys,2009
Jammu and Kashmir,2.1,2009-2010,Elementary,Boys,2009
Jharkhand,6.5,2009-2010,Elementary,Boys,2009
Karnataka,5.4,2009-2010,Elementary,Boys,2009
Kerala,1.9,2009-2010,Elementary,Boys,2009
Ladakh,3.7,2009-2010,Elementary,Boys,2009
Lakshadweep,2.9,2009-2010,Elementary,Boys,2009
Madhya Pradesh,4.7,2009-2010,Elementary,Boys,2009
Maharashtra,2.0,2009-2010,Elementary,Boys,2009
Manipur,4.9,2009-2010,Elementary,Boys,2009
Meghalaya,2.5,2009-2010,Elementary,Boys,2009
Mizoram,0.4,2009-2010,Elementary,Boys,2009
Nagaland,1.9,2009-2010,Elementary,Boys,2009
Odisha,2.7,2009-2010,Elementary,Boys,2009
Puducherry,1.6,2009-2010,Elementary,Boys,2009
Punjab,2.8,2009-2010,Elementary,Boys,2009
Rajasthan,5.2,2009-2010,Elementary,Boys,2009
Sikkim,1.7,2009-2010,Elementary,Boys,2009
Tamil Nadu,2.1,2009-2010,Elementary,Boys,2009
Telangana,3.4,2009-2010,Elementary,Boys,2009
Tripura,3.5,2009-2010,Elementary,Boys,2009
Uttar Pradesh,5.2,2009-2010,Elementary,Boys,2009
Uttarakhand,1.9,2009-2010,Elementary,Boys,2009
West Bengal,1.2,2009-2010,Elementary,Boys,2009
All India,5.1,2009-2010,Elementary,Boys,2009
Andaman and Nicobar Islands,6.8,2009-2010,Elementary,Girls,2009
Andhra Pradesh,0.9,2009-2010,Elementary,Girls,2009
Arunachal Pradesh,1.2,2009-2010,Elementary,Girls,2009
Assam,3.4,2009-2010,Elementary,Girls,2009
Bihar,5.6,2009-2010,Elementary,Girls,2009
Chandigarh,1.3,2009-2010,Elementary,Girls,2009
Chhattisgarh,7.3,2009-2010,Elementary,Girls,2009
